group	species	occurrence
birds	sp22703040	5283
birds	sp22694967	5264
birds	sp22694053	5259
birds	sp22695170	5259
birds	sp22679954	5256
birds	sp22682667	5252
birds	sp22695048	5250
birds	sp22718571	5248
birds	sp22683862	5241
birds	sp22721085	5240
birds	sp22722546	5219
birds	sp22699811	5216
birds	sp22678691	5212
birds	sp22692883	5207
birds	sp22722991	5203
birds	sp22726503	5200
birds	sp22689203	5199
birds	sp22696776	5193
birds	sp22697303	5181
birds	sp22726404	5181
birds	sp22689194	5179
birds	sp22706019	5178
birds	sp22699748	5176
birds	sp22712182	5176
birds	sp22699854	5174
birds	sp22692640	5173
birds	sp22723542	5170
birds	sp22684431	5165
birds	sp22697250	5161
birds	sp22695585	5157
birds	sp22718366	5156
birds	sp22693348	5151
birds	sp22690747	5148
birds	sp22679487	5140
birds	sp22695094	5129
birds	sp22697555	5120
birds	sp22695271	5083
birds	sp22680364	5081
birds	sp22688986	5074
birds	sp22707451	5072
birds	sp22695250	5071
birds	sp22699848	5057
birds	sp22690074	5049
birds	sp22717254	5039
birds	sp22722080	5038
birds	sp22735845	5036
birds	sp22696698	5027
birds	sp22684328	5021
birds	sp22708382	5006
birds	sp22700686	5005
birds	sp22700596	5001
birds	sp22721188	4997
birds	sp22695991	4990
birds	sp22683870	4986
birds	sp22712065	4984
birds	sp22723434	4968
birds	sp22684021	4966
birds	sp22700415	4965
birds	sp22680616	4963
birds	sp22689711	4943
birds	sp22679814	4937
birds	sp22694027	4937
birds	sp22692177	4934
birds	sp22700692	4934
birds	sp22693868	4931
birds	sp22690877	4927
birds	sp22711750	4917
birds	sp22714751	4917
birds	sp22699816	4891
birds	sp22694120	4890
birds	sp22733687	4865
birds	sp22689366	4853
birds	sp22695174	4853
birds	sp22709730	4851
birds	sp22707753	4843
birds	sp22718651	4834
birds	sp22705038	4833
birds	sp22697706	4831
birds	sp22682715	4829
birds	sp22720954	4826
birds	sp22725469	4822
birds	sp22718230	4820
birds	sp22678169	4810
birds	sp22719440	4809
birds	sp22680354	4807
birds	sp22711944	4803
birds	sp22709936	4800
birds	sp22705775	4798
birds	sp22680868	4790
birds	sp22693199	4786
birds	sp22711026	4780
birds	sp22699187	4771
birds	sp22684049	4750
birds	sp22698436	4750
birds	sp22695998	4743
birds	sp22701275	4743
birds	sp22709207	4743
birds	sp22719128	4738
birds	sp22690080	4734
birds	sp22700399	4726
birds	sp22735122	4726
birds	sp22700436	4721
birds	sp22687399	4701
birds	sp22724358	4700
birds	sp22680217	4692
birds	sp22681405	4692
birds	sp22720407	4686
birds	sp22681199	4682
birds	sp22711360	4682
birds	sp45433492	4668
birds	sp22721627	4663
birds	sp22721070	4649
birds	sp22699262	4647
birds	sp22680290	4643
birds	sp22720902	4643
birds	sp22695656	4642
birds	sp22700586	4640
birds	sp22710209	4639
birds	sp22690088	4638
birds	sp22691900	4630
birds	sp22683714	4628
birds	sp61709141	4628
birds	sp22699274	4625
birds	sp22679723	4623
birds	sp22694944	4620
birds	sp22697334	4619
birds	sp22694646	4603
birds	sp22714714	4588
birds	sp22714904	4587
birds	sp22711374	4583
birds	sp22694095	4578
birds	sp22714912	4577
birds	sp22723982	4576
birds	sp22680423	4567
birds	sp22717262	4567
birds	sp22720181	4561
birds	sp22695832	4559
birds	sp22723878	4551
birds	sp22727766	4538
birds	sp22691896	4535
birds	sp22692994	4535
birds	sp22694971	4532
birds	sp22699704	4525
birds	sp22718307	4524
birds	sp22687534	4522
birds	sp22711234	4522
birds	sp22697460	4514
birds	sp22717068	4497
birds	sp22680348	4492
birds	sp22699751	4490
birds	sp22695025	4489
birds	sp22683816	4487
birds	sp22708160	4480
birds	sp22694343	4474
birds	sp22681774	4468
birds	sp22694262	4466
birds	sp22723813	4461
birds	sp22694794	4456
birds	sp22721779	4454
birds	sp22706389	4453
birds	sp22709988	4453
birds	sp22724332	4448
birds	sp22683442	4435
birds	sp22696944	4433
birds	sp22697314	4433
birds	sp22689166	4425
birds	sp22680090	4424
birds	sp22696571	4420
birds	sp22697317	4418
birds	sp22720916	4413
birds	sp22735995	4405
birds	sp22679785	4404
birds	sp22690628	4402
birds	sp22722507	4399
birds	sp22706961	4397
birds	sp22718179	4389
birds	sp22734364	4386
birds	sp22710921	4369
birds	sp22684284	4364
birds	sp22717770	4357
birds	sp22696987	4356
birds	sp22702301	4356
birds	sp22687130	4352
birds	sp22679780	4350
birds	sp22702995	4349
birds	sp22706964	4341
birds	sp22692337	4335
birds	sp22692990	4331
birds	sp22697219	4330
birds	sp22697360	4324
birds	sp22697323	4323
birds	sp22690235	4315
birds	sp22721667	4300
birds	sp22697574	4293
birds	sp22720702	4293
birds	sp22721689	4288
birds	sp22709035	4279
birds	sp22719782	4279
birds	sp22690493	4277
birds	sp22721695	4270
birds	sp22680271	4267
birds	sp22734158	4259
birds	sp22706394	4256
birds	sp22695838	4249
birds	sp22696197	4237
birds	sp22720438	4236
birds	sp22684452	4233
birds	sp22697426	4233
birds	sp22723872	4232
birds	sp22678961	4217
birds	sp22714696	4201
birds	sp22703095	4199
birds	sp22734223	4184
birds	sp22736148	4184
birds	sp22680539	4173
birds	sp22722456	4173
birds	sp22690488	4170
birds	sp22694251	4169
birds	sp22683889	4167
birds	sp22696980	4161
birds	sp22727471	4161
birds	sp22717668	4154
birds	sp22718485	4153
birds	sp61741660	4151
birds	sp22712449	4144
birds	sp22693543	4138
birds	sp22683658	4137
birds	sp22693090	4135
birds	sp22711578	4132
birds	sp22699839	4114
birds	sp22695673	4112
birds	sp22705042	4109
birds	sp22711013	4107
birds	sp22735985	4107
birds	sp22686677	4105
birds	sp22721882	4100
birds	sp22722272	4099
birds	sp22707647	4094
birds	sp22706305	4090
birds	sp22678949	4089
birds	sp22686991	4081
birds	sp22719821	4070
birds	sp22680170	4069
birds	sp22721734	4069
birds	sp22717329	4064
birds	sp45020636	4062
birds	sp22680472	4059
